id,speaker_nm,conversation_id,reply_to_id,reply_to_nm,timestamp,text,likes,shares,num_comments,cleaned_text,named_entities,sentiment,tokens,date,extracted_entities,content_category,enhanced_hate_score,virality_score,spike_day,engagement_rank,hate_intensity,hate_keywords_count,reply_chain_depth,spike_cause,spike_top_entities,spike_external_cause,contextual_relevance,is_reply,user_influence,mention_count,hashtag_count,url_count,conversation_size,conversation_centrality
1274489869364944898,ImMrAbarca,1274489869364944898,0,,2020-06-20 23:50:38,"Today marks the first time I have ever marched for a cause. I’ve attended community events prior for various causes, but never marched. I’m so glad I did this. BLACK LIVES MATTER!!! #BLM ",48,9,1,today marks time marched cause ive attended community events prior various causes marched im glad did black lives matter blm,"'ORG')], 'ORDINAL'), community events, march, matter blm, cause attended, today marks, marched glad, marched cause, #blm, various causes, ('first', ever marched, events prior, blm, glad black, time ever, marks first, never marched, black, ('BLM', first time, attended community, [('Today', today, 'DATE')",0.0848958333333333,"[101, 2651, 6017, 2051, 9847, 3426, 4921, 2063, 3230, 2451, 2824, 3188, 2536, 5320, 9847, 10047, 5580, 2106, 2304, 3268, 3043, 1038, 13728, 102]",2020-06-20,"[""[('Today'"", "" 'DATE')"", "" ('first'"", "" 'ORDINAL')"", "" ('BLM'"", "" 'ORG')]"", 'community events', 'march', 'matter blm', 'cause attended', 'today marks', 'marched glad', 'marched cause', '#blm', 'various causes', 'ever marched', 'events prior', 'blm', 'glad black', 'time ever', 'marks first', 'never marched', 'black', 'first time', 'attended community', 'today']",protest,0.25,0.077,1,0.8262967430639324,0.25,0,0,volume_spike_viral_content,"black(47), black lives(46), lives matter(42), matter(30), 'PERSON')](29)","Guardian correlation: 'Tipping point': Greta Thunberg hails Black Lives Matter protests (score: 6, strength: high)",general,0,0.03094783972213149,0,1,0,1,0.02040816326530612
1274488129907556358,DelkReese,1274488129907556358,0,,2020-06-20 23:43:43,Black lives matter is not Black Owned! #AllLivesMatter #KAG #BlackVoicesForTrump #blacklivesmatter #georgefloyd,76,54,13,black lives matter black owned alllivesmatter kag blackvoicesfortrump blacklivesmatter georgefloyd,"kag blackvoicesfortrump, #georgefloyd, owned alllivesmatter, 'CARDINAL'), #alllivesmatter, [('Black Owned', black owned, ('#', #blacklivesmatter, blackvoicesfortrump blacklivesmatter, ('#KAG #', trump, blacklivesmatter georgefloyd, 'ORG'), black, blackvoicesfortrump, 'MONEY')], kag, black lives, #blackvoicesfortrump, #kag, matter black, lives matter, alllivesmatter kag",-0.03125,"[101, 2304, 3268, 3043, 2304, 3079, 2035, 3669, 6961, 18900, 3334, 10556, 2290, 2304, 6767, 23522, 13028, 6824, 2361, 2304, 3669, 6961, 18900, 3334, 2577, 10258, 6977, 2094, 102]",2020-06-20,"[""[('Black Owned'"", "" 'ORG')"", "" ('#'"", "" 'CARDINAL')"", "" ('#KAG #'"", "" 'MONEY')]"", 'blackvoicesfortrump blacklivesmatter', 'kag blackvoicesfortrump', '#georgefloyd', 'owned alllivesmatter', 'kag', 'black owned', 'blacklivesmatter georgefloyd', 'trump', 'black lives', '#blackvoicesfortrump', 'black', '#kag', 'matter black', 'blackvoicesfortrump', 'alllivesmatter kag', '#alllivesmatter', 'lives matter', '#blacklivesmatter']",politics,0.15000000000000002,0.264,1,0.8781664656212304,0.15000000000000002,0,0,volume_spike_viral_content,"black(47), black lives(46), lives matter(42), matter(30), 'PERSON')](29)","Guardian correlation: 'Tipping point': Greta Thunberg hails Black Lives Matter protests (score: 6, strength: high)",general,0,0.10605277479718696,0,5,0,10,0.20408163265306123
1274488889034575873,RyanEdw67985004,1274488129907556358,1274488129907556358,DelkReese,2020-06-20 23:46:44,"I love your You tube channel 
 I hope your sign stayed up
God Bless",2,0,0,love tube channel hope sign stayed god bless,"stayed god, love tube, sign stayed, tube channel, [], channel hope, you, hope sign, god bless",0.5,"[101, 2293, 7270, 3149, 3246, 3696, 4370, 2643, 19994, 102]",2020-06-20,"['[]', 'stayed god', 'love tube', 'tube channel', 'sign stayed', 'channel hope', 'you', 'hope sign', 'god bless']",general,0.0,0.002,1,0.49819059107358266,0.0,0,1,volume_spike_viral_content,"black(47), black lives(46), lives matter(42), matter(30), 'PERSON')](29)","Guardian correlation: 'Tipping point': Greta Thunberg hails Black Lives Matter protests (score: 6, strength: high)",general,1,0.000804379082582199,0,0,0,10,0.20408163265306123
1274489538820202496,christi82838002,1274488129907556358,1274488129907556358,DelkReese,2020-06-20 23:49:19,Exactly! Thank you!,2,0,0,exactly thank,"exactly, thank, [], exactly thank",0.390625,"[101, 3599, 4067, 102]",2020-06-20,"['[]', 'exactly', 'thank', 'exactly thank']",general,0.1,0.002,1,0.49819059107358266,0.1,0,1,volume_spike_viral_content,"black(47), black lives(46), lives matter(42), matter(30), 'PERSON')](29)","Guardian correlation: 'Tipping point': Greta Thunberg hails Black Lives Matter protests (score: 6, strength: high)",general,1,0.000804379082582199,0,0,0,10,0.20408163265306123
1276897833489059848,prana_juana,1274488129907556358,1274488129907556358,DelkReese,2020-06-27 15:19:01,Preach,0,0,0,preach,"[], preach",0.0,"[101, 25250, 102]",2020-06-27,"['[]', 'preach']",general,0.0,0.0,0,0.1652593486127865,0.0,0,1,normal_activity,,no_spike,none,1,0.0,0,0,0,10,0.20408163265306123
1277282466315853825,CherylJ52005491,1274488129907556358,1274488129907556358,DelkReese,2020-06-28 16:47:25,Best thing I've heard on twitter in a while.  Thank you Mo Reese Delk.,0,0,0,best thing ive heard twitter thank mo reese delk,"mo reese delk, thank reese, best thing, [], thing heard, twitter thank, heard twitter, thank, best, reese delk",1.0,"[101, 2190, 2518, 4921, 2063, 2657, 10474, 4067, 9587, 15883, 3972, 2243, 102]",2020-06-28,"['[]', 'mo reese delk', 'thank reese', 'best thing', 'thing heard', 'twitter thank', 'heard twitter', 'thank', 'best', 'reese delk']",general,0.0,0.0,0,0.1652593486127865,0.0,0,1,normal_activity,,no_spike,none,1,0.0,0,0,0,10,0.20408163265306123
1277818496391483402,ntblmncereus,1274488129907556358,1274488129907556358,DelkReese,2020-06-30 04:17:24,Exactly!!,0,0,0,exactly,"exactly, []",0.390625,"[101, 3599, 102]",2020-06-30,"['[]', 'exactly']",general,0.1,0.0,1,0.1652593486127865,0.1,0,1,high_hate_content,"exactly(2), [](1), etc white(1), businesses attacking(1), white(1)",Nothing significant - no contextually relevant news found for general spike,no_correlation,1,0.0,0,0,0,10,0.20408163265306123
1274494088373469191,ilovefourloko,1274488129907556358,1274488129907556358,DelkReese,2020-06-21 00:07:24,The biggest threat to our democracy in America is the white liberal.... MAGA ,0,0,0,biggest threat democracy america white liberal maga,"democracy america, [('America', biggest threat, 'GPE'), ('MAGA', the, threat, white liberal, maga, america, threat democracy, 'PERSON')], america white, liberal maga",0.0,"[101, 5221, 5081, 7072, 2637, 2317, 4314, 23848, 2050, 102]",2020-06-21,"[""[('America'"", "" 'GPE')"", "" ('MAGA'"", "" 'PERSON')]"", 'democracy america', 'biggest threat', 'the', 'threat', 'white liberal', 'maga', 'america', 'threat democracy', 'america white', 'liberal maga']",terrorism,0.0,0.0,0,0.1652593486127865,0.0,0,1,normal_activity,,no_spike,none,1,0.0,0,0,0,10,0.20408163265306123
1276955230706556928,Hawkingonuisan1,1274488129907556358,1274488129907556358,DelkReese,2020-06-27 19:07:06,Lol I like this guy and what he says makes some sense,0,0,0,lol like guy says makes sense,"guy says, like guy, says makes, [], lol like, makes sense, lol",0.8,"[101, 8840, 2140, 2066, 3124, 2758, 3084, 3168, 102]",2020-06-27,"['[]', 'guy says', 'like guy', 'says makes', 'lol like', 'makes sense', 'lol']",general,0.0,0.0,0,0.1652593486127865,0.0,0,1,normal_activity,,no_spike,none,1,0.0,0,0,0,10,0.20408163265306123
1277819384325701632,ntblmncereus,1274488129907556358,1274488129907556358,DelkReese,2020-06-30 04:20:56,"Exactly didn't everyone see all the DEMOCRAT/LIBERAL WHITE SUPREMACISTS rioting, vandalising businesses, attacking people, killing people, chanting to defund & kill police etc. The only WHITE SUPREMACISTS are DEMOCRATS!",0,0,0,exactly didnt democratliberal white supremacists rioting vandalising businesses attacking people killing people chanting defund kill police white supremacists democrats,"etc white, businesses attacking, white, attacking people, police etc, killing people, exactly everyone, kill police, everyone see, vandalising businesses, police, defund kill, people killing, people chanting, supremacists rioting, democrats, 'ORG'), ('WHITE SUPREMACISTS', [('DEMOCRAT', riot, exactly, 'NORP')], see white, ('DEMOCRATS', white supremacists",0.0625,"[101, 3599, 2134, 2102, 7672, 29521, 21673, 2317, 10514, 28139, 22911, 5130, 11421, 2075, 3158, 9305, 9355, 5661, 7866, 2111, 4288, 2111, 22417, 13366, 8630, 3102, 2610, 2317, 10514, 28139, 22911, 5130, 8037, 102]",2020-06-30,"[""[('DEMOCRAT'"", "" 'ORG')"", "" ('WHITE SUPREMACISTS'"", "" 'ORG')"", "" ('DEMOCRATS'"", "" 'NORP')]"", 'etc white', 'businesses attacking', 'white', 'attacking people', 'police etc', 'killing people', 'exactly everyone', 'kill police', 'everyone see', 'vandalising businesses', 'police', 'defund kill', 'people killing', 'people chanting', 'supremacists rioting', 'democrats', 'riot', 'exactly', 'see white', 'white supremacists']",protest,1.0,0.0,1,0.1652593486127865,1.0,4,1,high_hate_content,"exactly(2), [](1), etc white(1), businesses attacking(1), white(1)",Nothing significant - no contextually relevant news found for general spike,no_correlation,1,0.0,0,0,0,10,0.20408163265306123
