id,speaker_nm,conversation_id,reply_to_id,reply_to_nm,timestamp,text,likes,shares,num_comments,cleaned_text,named_entities,sentiment,tokens
1329563704019595266,SucreMamito124,1329563704019595266,0,None,2020-11-19 23:14:23,1 month later.Gone but not forgottenMay their soul continue to rest in peace #LekkiMassacre #LekkiTollGateMassacre #Endsars,23,24,1,1 month latergone forgottenmay soul continue rest peace lekkimassacre lekkitollgatemassacre endsars,"[('1 month later', 'DATE'), ('#LekkiMassacre #', 'MONEY')]",0.0,"[101, 1015, 3204, 2101, 7446, 2063, 6404, 27871, 3969, 3613, 2717, 3521, 3393, 24103, 9335, 3736, 16748, 3393, 24103, 3406, 3363, 5867, 9335, 3736, 16748, 4515, 11650, 102]"
1329572013971828739,ChigoTheKopite,1329572013971828739,0,None,2020-11-19 23:47:25,"A month ago, we lost our comrades in the struggle to #EndSars at the Lekki toll gate.
General Buhari, Buratai, Sanwo Olu, Tinubu, IGP adamu and the arny orchestrated the massacre of peaceful protesters.
We will continue to soro soke for the sake of the lost souls.
Aluta Continua",3,5,0,month ago lost comrades struggle endsars lekki toll gate general buhari buratai sanwo olu tinubu igp adamu arny orchestrated massacre peaceful protesters continue soro soke sake lost souls aluta continua,"[('A month ago', 'DATE'), ('EndSars', 'PRODUCT'), ('Lekki', 'GPE'), ('Buhari', 'PERSON'), ('Buratai', 'PERSON'), ('Sanwo Olu', 'PERSON'), ('Tinubu', 'PERSON'), ('IGP', 'ORG'), ('soro', 'GPE'), ('Aluta Continua', 'PERSON')]",0.15000000000000002,"[101, 3204, 3283, 2439, 19033, 5998, 4515, 11650, 3393, 24103, 9565, 4796, 2236, 20934, 18428, 20934, 14660, 2072, 2624, 12155, 19330, 2226, 9543, 12083, 2226, 1045, 21600, 4205, 2226, 12098, 4890, 23339, 9288, 9379, 13337, 3613, 2061, 3217, 2061, 3489, 8739, 2439, 9293, 2632, 13210, 9530, 7629, 6692, 102]"
1329573431176728576,josteez_,1329573431176728576,0,None,2020-11-19 23:53:02,One month today! The #LekkiMassacre happened!! #EndSars,42,42,0,month today lekkimassacre happened endsars,"[('One month', 'DATE'), ('LekkiMassacre', 'PERSON'), ('EndSars', 'PRODUCT')]",0.0,"[101, 3204, 2651, 3393, 24103, 9335, 3736, 16748, 3047, 4515, 11650, 102]"
1329570836886466566,Tobi_Flink,1329570836886466566,0,None,2020-11-19 23:42:44,It's exaclty one month. #EndSARS,1,3,0,exaclty month endsars,"[('one month', 'DATE')]",0.0,"[101, 4654, 6305, 24228, 3204, 4515, 11650, 102]"
1329571870690193414,ovacommedia,1329571870690193414,0,None,2020-11-19 23:46:50,"Today, we honour and respect our brothers and sisters who died on the 20th of October, 2020. We pray God grant their families peace to bear the loss.
Pls let's RT to honour our brothers and sisters.
#EndPoliceBrutalityinNigeraNOW #EndSARS #NigeriaIsBleeding",3,6,4,today honour respect brothers sisters died 20th october 2020 pray god grant families peace bear loss pls lets rt honour brothers sisters endpolicebrutalityinnigeranow endsars nigeriaisbleeding,"[('Today', 'DATE'), ('the 20th of October, 2020', 'DATE'), ('#EndSARS #', 'MONEY'), ('NigeriaIsBleeding', 'PERSON')]",0.0,"[101, 2651, 6225, 4847, 3428, 5208, 2351, 3983, 2255, 12609, 11839, 2643, 3946, 2945, 3521, 4562, 3279, 20228, 2015, 11082, 19387, 6225, 3428, 5208, 2203, 18155, 6610, 19892, 13210, 18605, 23111, 17071, 6761, 2860, 4515, 11650, 7387, 2483, 3468, 17819, 102]"
1329572254229929985,ovacommedia,1329571870690193414,1329571870690193414,ovacommedia,2020-11-19 23:48:22,We will keep retweeting until we make the world remember what happen on October 20 #LekkiMassacre #LekkiGenocide #EndPoliceBrutalityinNigeraNOW #EndBadGoveranceInNigeria #EndSARS,1,1,0,retweeting make world remember happen october 20 lekkimassacre lekkigenocide endpolicebrutalityinnigeranow endbadgoveranceinnigeria endsars,"[('October 20', 'DATE'), ('#EndBadGoveranceInNigeria #', 'MONEY')]",0.0,"[101, 2128, 2102, 28394, 3436, 2191, 2088, 3342, 4148, 2255, 2322, 3393, 24103, 9335, 3736, 16748, 3393, 24103, 6914, 10085, 5178, 2203, 18155, 6610, 19892, 13210, 18605, 23111, 17071, 6761, 2860, 2203, 9024, 3995, 21998, 23111, 17071, 2401, 4515, 11650, 102]"
1329574935019261952,ovacommedia,1329571870690193414,1329571870690193414,ovacommedia,2020-11-19 23:59:01,"@YeleSowore
 @CNNPolitics
 @CNNAfrica
 @CNNSocialDesk
 @CNN
 @AJEnglish
 @AlJazeera_World 
@ARISEtv
 @sam_adeyemi
 @falzthebahdguy
 @davido",0,0,0,yelesowore cnnpolitics cnnafrica cnnsocialdesk cnn ajenglish aljazeeraworld arisetv samadeyemi falzthebahdguy davido,[],0.0,"[101, 6300, 4244, 5004, 5686, 13229, 18155, 18291, 2015, 13229, 10354, 14735, 13229, 6499, 13247, 6155, 2243, 13229, 19128, 13159, 13602, 2632, 3900, 23940, 2527, 11108, 13368, 9189, 3520, 9648, 6672, 4328, 6904, 23858, 10760, 24206, 2094, 12193, 2100, 2585, 2080, 102]"
1329575529746472962,ovacommedia,1329571870690193414,1329571870690193414,ovacommedia,2020-11-20 00:01:23,"We are not stopping the trend until all youth take up their phones and start #RT.
#EndSarsNow #EndPoliceBrutalityinNigeraNOW #EndPoliceBrutality #Nigeria #EndPoliceBrutalityinNigera 
@YeleSowore
 @ARISEtv
 @CNNAfrica
 @MSN
 @CNNSocialDesk
 @CNNPolitics",0,0,0,stopping trend youth phones start rt endsarsnow endpolicebrutalityinnigeranow endpolicebrutality nigeria endpolicebrutalityinnigera yelesowore arisetv cnnafrica msn cnnsocialdesk cnnpolitics,"[('#', 'CARDINAL'), ('#', 'CARDINAL'), ('EndPoliceBrutalityinNigera', 'MONEY')]",0.0,"[101, 7458, 9874, 3360, 11640, 2707, 19387, 4515, 11650, 19779, 2203, 18155, 6610, 19892, 13210, 18605, 23111, 17071, 6761, 2860, 2203, 18155, 6610, 19892, 13210, 18605, 7387, 2203, 18155, 6610, 19892, 13210, 18605, 23111, 17071, 2050, 6300, 4244, 5004, 5686, 13368, 9189, 13229, 10354, 14735, 5796, 2078, 13229, 6499, 13247, 6155, 2243, 13229, 18155, 18291, 2015, 102]"
1329577356210663426,ovacommedia,1329571870690193414,1329571870690193414,ovacommedia,2020-11-20 00:08:38,"@MSN
 @CNNAfrica
 @CNNPolitics
 @AishaYesufu
 @sam_adeyemi
  @ARISEtv
 #EndSarsNow #EndSARS",0,0,0,msn cnnafrica cnnpolitics aishayesufu samadeyemi arisetv endsarsnow endsars,[],0.0,"[101, 5796, 2078, 13229, 10354, 14735, 13229, 18155, 18291, 2015, 9932, 7377, 23147, 16093, 2226, 3520, 9648, 6672, 4328, 13368, 9189, 4515, 11650, 19779, 4515, 11650, 102]"
1329552401771147268,IndependentNGR,1329552401771147268,0,None,2020-11-19 22:29:29,"Just published: front page of Daily Independent Newspapers for tomorrow, 20 November 2020. #Nigeria #EndSARSProtest #EndSARS #APC #newspaper #FrontPage",10,5,0,just published page daily independent newspapers tomorrow 20 november 2020 nigeria endsarsprotest endsars apc newspaper frontpage,"[('Daily Independent Newspapers', 'ORG'), ('tomorrow', 'DATE'), ('20 November 2020', 'DATE'), ('#EndSARS #', 'MONEY'), ('APC', 'PERSON'), ('#', 'CARDINAL'), ('#', 'CARDINAL')]",0.0,"[101, 2074, 2405, 3931, 3679, 2981, 6399, 4826, 2322, 2281, 12609, 7387, 4515, 11650, 21572, 22199, 4515, 11650, 9706, 2278, 3780, 2392, 13704, 102]"
1329562365898219526,emmyjoe_,1329562365898219526,0,None,2020-11-19 23:09:04,"20:10:20
A day that will forever dwell in our hearts, a day the Nigerian army, sent by the tyrants ruling this nation shot at unarmed peaceful #Endsars protesters at close range with war ammunition. 
RIP to all heroes who lost their lives at the #Lekkimassacre",5,2,1,201020 day forever dwell hearts day nigerian army sent tyrants ruling nation shot unarmed peaceful endsars protesters close range war ammunition rip heroes lost lives lekkimassacre,"[('20:10:20', 'TIME'), ('Nigerian', 'NORP'), ('Endsars', 'PRODUCT'), ('RIP', 'ORG'), ('Lekkimassacre', 'PERSON')]",0.25,"[101, 2230, 11387, 2154, 5091, 23120, 8072, 2154, 11884, 2390, 2741, 26508, 2015, 6996, 3842, 2915, 23206, 9379, 4515, 11650, 13337, 2485, 2846, 2162, 9290, 10973, 7348, 2439, 3268, 3393, 24103, 9335, 3736, 16748, 102]"
1329645609591201793,talkaboutlagos,1329562365898219526,1329562365898219526,emmyjoe_,2020-11-20 04:39:51,"Hello there 
@emmyjoe_
! The #EndSars movement was one of a kind. See the key actors in this timeline - 
bit.ly/3n3fNNq  to see how this movement unfolded.",1,0,0,hello emmyjoe endsars movement kind key actors timeline bitly3n3fnnq movement unfolded,"[('EndSars', 'PRODUCT')]",0.3,"[101, 7592, 10096, 5558, 2063, 4515, 11650, 2929, 2785, 3145, 5889, 17060, 2978, 2135, 2509, 2078, 2509, 2546, 10695, 4160, 2929, 23959, 102]"
1329567657209847810,yinkaxx,1329567657209847810,0,None,2020-11-19 23:30:06,"Today makes it one month. No one has been held accountable.

#EndSars
#WeWillNeverForget 
#EndBadGoveranceInNigeria",2,5,0,today makes month held accountable endsars wewillneverforget endbadgoveranceinnigeria,"[('one month', 'DATE'), ('EndSars', 'PRODUCT')]",0.0,"[101, 2651, 3084, 3204, 2218, 26771, 4515, 11650, 2057, 29602, 19666, 22507, 29278, 18150, 2203, 9024, 3995, 21998, 23111, 17071, 2401, 102]"
1329553866363457537,adegbolat,1329553866363457537,0,None,2020-11-19 22:35:18,"The part 
@wizkidayo
 mentioned #endSARs burst my brain. Informative n entertaining Performance 
Machala  #WizKidLiveYT",111,14,0,wizkidayo mentioned endsars burst brain informative n entertaining performance machala wizkidliveyt,"[('@wizkidayo\n ', 'ORG'), ('#', 'CARDINAL'), ('Performance \nMachala', 'FAC')]",0.5,"[101, 15536, 2480, 3211, 10259, 2080, 3855, 4515, 11650, 6532, 4167, 12367, 8082, 1050, 14036, 2836, 24532, 7911, 15536, 2480, 3211, 19422, 3512, 22123, 102]"
1329563754082824193,Arab_kid1,1329563754082824193,0,None,2020-11-19 23:14:35,"This time last month the youths were preparing to lock down the toll gate as usual not knowing the government had other plans.

They executed OUR BROTHERS AND SISTERS!!!

WE REMEMBER THEM TODAY #EndSars #LekkiMassacre",0,2,0,time month youths preparing lock toll gate usual knowing government plans executed brothers sisters remember today endsars lekkimassacre,"[('last month', 'DATE'), ('LekkiMassacre', 'ORG')]",-0.1624240451388889,"[101, 2051, 3204, 19634, 8225, 5843, 9565, 4796, 5156, 4209, 2231, 3488, 6472, 3428, 5208, 3342, 2651, 4515, 11650, 3393, 24103, 9335, 3736, 16748, 102]"
1329564077769822213,ChinweChekwa,1329564077769822213,0,None,2020-11-19 23:15:52,We have not forgotten... #4weeks #Amonth #EndSars,3,2,0,forgotten 4weeks amonth endsars,"[('#4weeks #', 'MONEY'), ('Amonth', 'PERSON'), ('EndSars', 'PRODUCT')]",0.0,"[101, 6404, 1018, 28075, 2015, 2572, 12162, 2232, 4515, 11650, 102]"
1329559909466333186,wakzDgeneral,1329559909466333186,0,None,2020-11-19 22:59:19,"Alert  on the way 

Wakz Dey for you  

#endsars  #WakzDgeneral   
x.com/marvvy__/statu
…",7,2,5,alert way wakz dey endsars wakzdgeneral xcommarvvystatu,[],0.0,"[101, 9499, 2126, 11333, 2243, 2480, 2139, 2100, 4515, 11650, 11333, 2243, 26494, 6914, 21673, 1060, 9006, 7849, 2615, 10736, 9153, 8525, 102]"
1329560353743769601,dan_Nosakhare88,1329559909466333186,1329559909466333186,wakzDgeneral,2020-11-19 23:01:05,"Should I wait on it. 

Wakz blessing the street with love 

#endsars  #WakzDgeneral ",0,0,0,wait wakz blessing street love endsars wakzdgeneral,"[('#', 'CARDINAL'), ('WakzDgeneral', 'LAW')]",0.5,"[101, 3524, 11333, 2243, 2480, 13301, 2395, 2293, 4515, 11650, 11333, 2243, 26494, 6914, 21673, 102]"
1329560003599081474,Naijablogger,1329560003599081474,0,None,2020-11-19 22:59:41,"#EndSARS protester, Eromosele Adene, has been released from police custody today November 19, two days after he was granted bail by a Magistrate Court in Yaba, Lagos",35,9,0,endsars protester eromosele adene released police custody today november 19 days granted bail magistrate court yaba lagos,"[('Eromosele Adene', 'PERSON'), ('today', 'DATE'), ('November 19, two days', 'DATE'), ('Magistrate Court', 'ORG'), ('Yaba', 'GPE'), ('Lagos', 'GPE')]",0.0,"[101, 4515, 11650, 6186, 2121, 9413, 19506, 11246, 2063, 16298, 2063, 2207, 2610, 9968, 2651, 2281, 2539, 2420, 4379, 15358, 14351, 2457, 8038, 3676, 16738, 102]"
1329570941823803393,AmadiUgo1,1329570941823803393,0,None,2020-11-19 23:43:09,"It's been a month since the #LekkiMassacre 
With more evidence coming into public space, the government still deny the fact that they killed their citizens. 
We haven't forgotten, we won't forget. #endSARs",16,7,0,month lekkimassacre evidence coming public space government deny fact killed citizens havent forgotten wont forget endsars,"[('a month', 'DATE'), ('LekkiMassacre', 'PERSON'), ('#', 'CARDINAL')]",0.09999999999999999,"[101, 3204, 3393, 24103, 9335, 3736, 16748, 3350, 2746, 2270, 2686, 2231, 9772, 2755, 2730, 4480, 4033, 2102, 6404, 2180, 2102, 5293, 4515, 11650, 102]"
1329567565803294722,Fayokunmii,1329567565803294722,0,None,2020-11-19 23:29:44,"Exactly one month since the lekki massacre, May the souls of the departed Rest In Peace
#EndSars",672,321,13,exactly month lekki massacre souls departed rest peace endsars,"[('one month', 'DATE'), ('May', 'DATE'), ('Rest In Peace', 'WORK_OF_ART'), ('EndSars', 'PRODUCT')]",0.25,"[101, 3599, 3204, 3393, 24103, 9288, 9293, 7745, 2717, 3521, 4515, 11650, 102]"
1329569739199361027,dedolap0,1329567565803294722,1329567565803294722,Fayokunmii,2020-11-19 23:38:22,Chills one get from passing the toll gate recently is. May their souls continue to rest in peace ,0,0,0,chills passing toll gate recently souls continue rest peace,[],0.0,"[101, 10720, 2015, 4458, 9565, 4796, 3728, 9293, 3613, 2717, 3521, 102]"
1329567952719450112,ayeesha_oyinkan,1329567565803294722,1329567565803294722,Fayokunmii,2020-11-19 23:31:16,Amin thumma amin,0,0,0,amin thumma amin,"[('Amin thumma amin', 'PERSON')]",0.0,"[101, 24432, 16215, 2819, 2863, 24432, 102]"
1329723436948615168,ZealManuel,1329567565803294722,1329567565803294722,Fayokunmii,2020-11-20 09:49:07,When be the 2.0?,0,0,0,20,"[('2.0', 'CARDINAL')]",0.0,"[101, 2322, 102]"
1329557637667680262,swutchmann7,1329557637667680262,0,None,2020-11-19 22:50:17,Burna made a whole song and took the #endsars to the fucking BET. But y'all acted like u didn't see it.,82,34,6,burna song took endsars fucking bet yall acted like u didnt,"[('Burna', 'ORG'), ('#', 'CARDINAL'), ('BET', 'ORG')]",-0.19999999999999998,"[101, 6402, 2050, 2299, 2165, 4515, 11650, 8239, 6655, 8038, 3363, 6051, 2066, 1057, 2134, 2102, 102]"
1329559063969972229,okebobby,1329557637667680262,1329557637667680262,swutchmann7,2020-11-19 22:55:57,"He did well. People naturally listen to 
@wizkidayo
. They amplify the voice even when he whispers. Its just grace. Burna is however a Legend.. doing very big things for us. We love Burna",7,0,1,did people naturally listen wizkidayo amplify voice whispers just grace burna legend doing big things love burna,"[('Burna', 'ORG'), ('Legend', 'PRODUCT'), ('Burna', 'ORG')]",0.19999999999999998,"[101, 2106, 2111, 8100, 4952, 15536, 2480, 3211, 10259, 2080, 23713, 3669, 12031, 2376, 11054, 2074, 4519, 6402, 2050, 5722, 2725, 2502, 2477, 2293, 6402, 2050, 102]"
1329559339045150721,swutchmann7,1329557637667680262,1329557637667680262,swutchmann7,2020-11-19 22:57:03,True that,2,0,1,true,[],0.35,"[101, 2995, 102]"
