id,speaker_nm,conversation_id,reply_to_id,reply_to_nm,timestamp,text,likes,shares,num_comments,cleaned_text,named_entities,sentiment,tokens
1535939117313167361,SalmanNizami_,1535939117313167361,0,None,2022-06-12 10:56:36,"In India Nupur Sharma gets police protection after insulting Prophet Muhammed (pbuh) while those protesting the hate get their homes bulldozed. Unreal misuse of power and state machinery!

#StandWithAfreenFatima
#StopBulldozingMuslimHouses",2000,1100,379,india nupur sharma gets police protection insulting prophet muhammed pbuh protesting hate homes bulldozed unreal misuse power state machinery standwithafreenfatima stopbulldozingmuslimhouses,"[('India', 'GPE'), ('Nupur Sharma', 'PERSON'), ('Prophet Muhammed', 'PERSON')]",-1.0,"[101, 2634, 16371, 5311, 14654, 4152, 2610, 3860, 23979, 12168, 14163, 3511, 7583, 1052, 8569, 2232, 21248, 5223, 5014, 7087, 3527, 5422, 4895, 22852, 28616, 8557, 2373, 2110, 10394, 3233, 24415, 10354, 28029, 27753, 9581, 2644, 8569, 3363, 3527, 6774, 7606, 17960, 15666, 102]"
1536044824775708673,IndiaUnleashed_,1535939117313167361,1535939117313167361,SalmanNizami_,2022-06-12 17:56:39,In India stone thrower arsonists are called protestors by Salman.,3,0,0,india stone thrower arsonists called protestors salman,"[('India', 'GPE'), ('Salman', 'PERSON')]",0.0,"[101, 2634, 2962, 5466, 2121, 24912, 5130, 2170, 6186, 5668, 28542, 102]"
1535940002403995648,georgysthomas,1535939117313167361,1535939117313167361,SalmanNizami_,2022-06-12 11:00:07,Very sad state of affairs.,0,1,2,sad state affairs,[],-0.65,"[101, 6517, 2110, 3821, 102]"
1535952471218077696,yogisach1,1535939117313167361,1535939117313167361,SalmanNizami_,2022-06-12 11:49:40,"You are a politician your only job is to divide and rule , that’s what britishers gifted to inc",0,0,0,politician job divide rule thats britishers gifted,[],0.25,"[101, 3761, 3105, 11443, 3627, 2008, 2015, 2329, 2545, 12785, 102]"
1535943192108888066,uZruuDohin5gTKW,1535939117313167361,1535939117313167361,SalmanNizami_,2022-06-12 11:12:48,Nupur is not indulged in violence. If you hurt can go to court.,56,4,0,nupur indulged violence hurt court,"[('Nupur', 'PERSON')]",0.0,"[101, 16371, 5311, 27427, 5313, 5999, 4808, 3480, 2457, 102]"
1535942274839814150,abhyuday_abh,1535939117313167361,1535939117313167361,SalmanNizami_,2022-06-12 11:09:09,What kind of protest is this?,57,3,0,kind protest,[],0.6,"[101, 2785, 6186, 102]"
1535957935636959232,RowdyPappu,1535939117313167361,1535939117313167361,SalmanNizami_,2022-06-12 12:11:23,"Nobody From India Doesn't Respect A P J Abdul Kalam Sir. So If Every Muslim Of India Makes Themselves As Abdul Kalam Sir, So No Buldozar Will Run Over Their Home. Be A Human At First. Love India. Respect Hinduism Of India. Because It's Not Pakistan.",41,3,1,india doesnt respect p j abdul kalam sir muslim india makes abdul kalam sir buldozar run home human love india respect hinduism india pakistan,"[('India', 'GPE'), ('Muslim', 'NORP'), ('Abdul Kalam', 'PERSON'), ('First', 'ORDINAL'), ('India', 'GPE'), ('India', 'GPE'), ('Pakistan', 'GPE')]",0.25,"[101, 2634, 2987, 2102, 4847, 1052, 1046, 10298, 26209, 2213, 2909, 5152, 2634, 3084, 10298, 26209, 2213, 2909, 20934, 6392, 25036, 2099, 2448, 2188, 2529, 2293, 2634, 4847, 19632, 2634, 4501, 102]"
1536084208069668864,Mahakaa56515400,1535939117313167361,1535939117313167361,SalmanNizami_,2022-06-12 20:33:08,"Pls stop using bulldozer.  It's bad as it's messy, creates problems for neighbours. 

Better use dynamides for controlled explosion.",33,3,3,pls stop using bulldozer bad messy creates problems neighbours better use dynamides controlled explosion,[],-0.1333333333333333,"[101, 20228, 2015, 2644, 2478, 7087, 3527, 6290, 2919, 18307, 9005, 3471, 14754, 2488, 2224, 1040, 18279, 24284, 2015, 4758, 7738, 102]"
1535947788747689985,ThaakorPathak1,1535939117313167361,1535939117313167361,SalmanNizami_,2022-06-12 11:31:04,Pelting stones is protesting???,31,2,0,pelting stones protesting,[],0.0,"[101, 21877, 7096, 2075, 6386, 21248, 102]"
1535981662986678273,RajeshNavyug,1535939117313167361,1535939117313167361,SalmanNizami_,2022-06-12 13:45:40,Nupur Sharma hasn't insulted prophet Muhammad.She said whatever written in your holy book.The same has been told by many muslims scholar.,15,1,1,nupur sharma insulted prophet muhammadshe said written holy bookthe told muslims scholar,"[('Nupur Sharma', 'PERSON'), ('Muhammad', 'PERSON'), ('muslims', 'NORP')]",0.25,"[101, 16371, 5311, 14654, 23637, 12168, 7187, 4095, 2063, 2056, 2517, 4151, 2338, 10760, 2409, 7486, 6288, 102]"
1536029673880031232,sdattanayak,1535939117313167361,1535939117313167361,SalmanNizami_,2022-06-12 16:56:26,"Still we say the same what your holy book say about mohammad and ayesha. You can not hide the truth. 
 54-9 is the truth..... 
#IsupportNupurSharma 
#FactsMatter",2,0,1,say holy book say mohammad ayesha hide truth 549 truth isupportnupursharma factsmatter,"[('54', 'CARDINAL')]",0.0,"[101, 2360, 4151, 2338, 2360, 12050, 13442, 7377, 5342, 3606, 5139, 2683, 3606, 2003, 6279, 6442, 11231, 5311, 7377, 17830, 8866, 18900, 3334, 102]"
1535945258294358017,newbie_hope,1535939117313167361,1535939117313167361,SalmanNizami_,2022-06-12 11:21:00,Protest or riot?? Rioters will get punished..,2,0,0,protest riot rioters punished,[],0.0,"[101, 6186, 11421, 11421, 2545, 14248, 102]"
1535946970107260928,sri_hindu,1535939117313167361,1535939117313167361,SalmanNizami_,2022-06-12 11:27:48,Congress mukt bharath,2,0,0,congress mukt bharath,"[('Congress', 'ORG')]",0.0,"[101, 3519, 14163, 25509, 1038, 28074, 2232, 102]"
1535958084417228800,sandeshruge,1535939117313167361,1535939117313167361,SalmanNizami_,2022-06-12 12:11:58,Can u prove it that she the facts nupur sharma stated is wrong n not written in ur holy book,2,0,2,u prove facts nupur sharma stated wrong n written ur holy book,"[('nupur sharma', 'PERSON')]",-0.5,"[101, 1057, 6011, 8866, 16371, 5311, 14654, 3090, 3308, 1050, 2517, 24471, 4151, 2338, 102]"
1536245493658857472,Vijayafourth,1535939117313167361,1535939117313167361,SalmanNizami_,2022-06-13 07:14:02,"Yes, I agree. One ( true) comment sets the country on fire,, but demolition of encroachment is overreaction.  Very strange.",1,0,0,yes agree true comment sets country demolition encroachment overreaction strange,"[('One', 'CARDINAL')]",0.1425,"[101, 2748, 5993, 2995, 7615, 4520, 2406, 12451, 4372, 26775, 10441, 22729, 2058, 16416, 7542, 4326, 102]"
1535953701298270210,RishiTi58397091,1535939117313167361,1535939117313167361,SalmanNizami_,2022-06-12 11:54:33,Peaceful protest is fundamental right but pelting stones and destroying public and private property is crime. Constitution is above all religions.,1,0,1,peaceful protest fundamental right pelting stones destroying public private property crime constitution religions,[],0.05595238095238095,"[101, 9379, 6186, 8050, 2157, 21877, 7096, 2075, 6386, 9846, 2270, 2797, 3200, 4126, 4552, 11822, 102]"
1535969579909795841,Esa_Faraz,1535939117313167361,1535939117313167361,SalmanNizami_,2022-06-12 12:57:39,"#StandWithAfreenFathima
#StopBulldozingMuslimHouses
#IndianMuslimsUnderAttack 
@OIC_OCI
 @Abdulla_Alamadi
 @ajmubasher
 @Mufti_Yasir
 @AJEnglish
 @AIMPLB_Official
 @MJALSHRIKA
 @steve_hanke",1,0,0,standwithafreenfathima stopbulldozingmuslimhouses indianmuslimsunderattack oicoci abdullaalamadi ajmubasher muftiyasir ajenglish aimplbofficial mjalshrika stevehanke,"[('#StandWithAfreenFathima\n', 'MONEY'), ('@OIC_OCI\n @Abdulla_Alamadi\n @ajmubasher', 'ORG')]",0.0,"[101, 3233, 24415, 10354, 28029, 27753, 16369, 2644, 8569, 3363, 3527, 6774, 7606, 17960, 15666, 2796, 7606, 17960, 25168, 6906, 5946, 3600, 1051, 11261, 6895, 10298, 2721, 7911, 25666, 2072, 19128, 12274, 22083, 5886, 14163, 6199, 8717, 29481, 19128, 13159, 13602, 6614, 24759, 5092, 26989, 13247, 1049, 25787, 4095, 23778, 3889, 4819, 3489, 102]"
1536011851313475585,raaghu81,1535939117313167361,1535939117313167361,SalmanNizami_,2022-06-12 15:45:37,What was the insult....? And r ubtelling stone pelting is a peaceful protest ??,1,0,0,insult r ubtelling stone pelting peaceful protest,[],0.25,"[101, 15301, 1054, 1057, 19279, 23918, 2962, 21877, 7096, 2075, 9379, 6186, 102]"
1535994120799649792,IshikaRathore45,1535939117313167361,1535939117313167361,SalmanNizami_,2022-06-12 14:35:10,Stop doing violence first,1,0,0,stop doing violence,"[('first', 'ORDINAL')]",0.25,"[101, 2644, 2725, 4808, 102]"
1535965500798554113,Iamsachinsky,1535939117313167361,1535939117313167361,SalmanNizami_,2022-06-12 12:41:26,Now India is only the country when we can't speak the truth and can't digest the truth too.,1,0,0,india country speak truth digest truth,"[('India', 'GPE')]",0.0,"[101, 2634, 2406, 3713, 3606, 17886, 3606, 102]"
1535944962336227328,IntelleCosmos,1535939117313167361,1535939117313167361,SalmanNizami_,2022-06-12 11:19:50,"Why you pissful made illegal construction ? You stone pelters breed make home from same stone , every single day Muslim make fun of other religion and customs , curse to humanity",1,0,0,pissful illegal construction stone pelters breed make home stone single day muslim make fun religion customs curse humanity,"[('every single day', 'DATE'), ('Muslim', 'NORP')]",-0.07928571428571428,"[101, 18138, 3993, 6206, 2810, 2962, 21877, 21928, 2015, 8843, 2191, 2188, 2962, 2309, 2154, 5152, 2191, 4569, 4676, 8205, 8364, 8438, 102]"
1536179561121333248,Jit_indian,1535939117313167361,1535939117313167361,SalmanNizami_,2022-06-13 02:52:02,"Protesting ? They were rioting and pelting stones and demanding sir tan se juda , all learned from same book which nupoor quoted",1,0,0,protesting rioting pelting stones demanding sir tan se juda learned book nupoor quoted,"[('tan se juda', 'PERSON')]",0.0,"[101, 21248, 11421, 2075, 21877, 7096, 2075, 6386, 9694, 2909, 9092, 7367, 18414, 2850, 4342, 2338, 16371, 24667, 2099, 9339, 102]"
1535966367668912130,chouhaan,1535939117313167361,1535939117313167361,SalmanNizami_,2022-06-12 12:44:53,What is pbuh,1,0,2,pbuh,[],0.0,"[101, 1052, 8569, 2232, 102]"
1536174667118936064,ashoknathan,1535939117313167361,1535939117313167361,SalmanNizami_,2022-06-13 02:32:36,First advice your people not disturb or throw stones … you stop the terror act .. this cos reaction from your action .. every wrong action your will equal and opposite reaction it’s law of science,1,0,0,advice people disturb throw stones stop terror act cos reaction action wrong action equal opposite reaction law science,"[('First', 'ORDINAL')]",-0.008333333333333337,"[101, 6040, 2111, 22995, 5466, 6386, 2644, 7404, 2552, 2522, 2015, 4668, 2895, 3308, 2895, 5020, 4500, 4668, 2375, 2671, 102]"
1535961593820827649,tweet_freely7,1535939117313167361,1535939117313167361,SalmanNizami_,2022-06-12 12:25:55,#NupurSharama real hero,0,0,0,nupursharama real hero,"[('NupurSharama', 'PERSON')]",0.2,"[101, 16371, 5311, 7377, 14672, 2613, 5394, 102]"
1536009817822613504,vishalbarge75,1535939117313167361,1535939117313167361,SalmanNizami_,2022-06-12 15:37:32,Tell your brothers to stop violence.... Cant you see what are they doing,0,0,0,tell brothers stop violence doing,[],0.0,"[101, 2425, 3428, 2644, 4808, 2725, 102]"
