id,speaker_nm,conversation_id,reply_to_id,reply_to_nm,timestamp,text,likes,shares,num_comments
1274489869364944898,ImMrAbarca,1274489869364944898,None,None,2020-06-20T23:50:38.000Z,"Today marks the first time I have ever marched for a cause. I’ve attended community events prior for various causes, but never marched. I’m so glad I did this. BLACK LIVES MATTER!!! #BLM ",48,9,1
1274488129907556358,DelkReese,1274488129907556358,None,None,2020-06-20T23:43:43.000Z,Black lives matter is not Black Owned! #AllLivesMatter #KAG #BlackVoicesForTrump #blacklivesmatter #georgefloyd,76,54,13
1274488889034575873,RyanEdw67985004,1274488129907556358,1274488129907556358,DelkReese,2020-06-20T23:46:44.000Z,"I love your You tube channel 
 I hope your sign stayed up
God Bless",2,0,0
1274489538820202496,christi82838002,1274488129907556358,1274488129907556358,DelkReese,2020-06-20T23:49:19.000Z,Exactly! Thank you!,2,0,0
1276897833489059848,prana_juana,1274488129907556358,1274488129907556358,DelkReese,2020-06-27T15:19:01.000Z,Preach,0,0,0
1277282466315853825,CherylJ52005491,1274488129907556358,1274488129907556358,DelkReese,2020-06-28T16:47:25.000Z,Best thing I've heard on twitter in a while.  Thank you Mo Reese Delk.,0,0,0
1277818496391483402,ntblmncereus,1274488129907556358,1274488129907556358,DelkReese,2020-06-30T04:17:24.000Z,Exactly!!,0,0,0
1274494088373469191,ilovefourloko,1274488129907556358,1274488129907556358,DelkReese,2020-06-21T00:07:24.000Z,The biggest threat to our democracy in America is the white liberal.... MAGA ,0,0,0
1276955230706556928,Hawkingonuisan1,1274488129907556358,1274488129907556358,DelkReese,2020-06-27T19:07:06.000Z,Lol I like this guy and what he says makes some sense,0,0,0
1277819384325701632,ntblmncereus,1274488129907556358,1274488129907556358,DelkReese,2020-06-30T04:20:56.000Z,"Exactly didn't everyone see all the DEMOCRAT/LIBERAL WHITE SUPREMACISTS rioting, vandalising businesses, attacking people, killing people, chanting to defund & kill police etc. The only WHITE SUPREMACISTS are DEMOCRATS!",0,0,0
1278266102234185729,FossilMAGA,1274488129907556358,1274488129907556358,DelkReese,2020-07-01T09:56:02.000Z,You RAWK dude! I’ve been saying all slo g this isn’t a race war. It’s just a bunch of crazy Communists. They come in all colors.,0,0,0
1274491359890558976,SanDiegoLoyal,1274491359890558976,None,None,2020-06-20T23:56:33.000Z,"""We don't feel obligated to speak about it... we choose to.""

Landon Donovan on the team's culture that allows for open and authentic conversations about LGBTQ+ rights and Black Lives Matter.",72,15,1
1274694929772470273,sdsteeler,1274491359890558976,1274491359890558976,SanDiegoLoyal,2020-06-21T13:25:28.000Z,July 11th will be a full day of events in more ways than one in SD: https://sdpride.org/pride/,0,0,0
1267262577706520578,camodreams,1267262577706520578,None,None,2020-06-01T01:11:57.000Z,"‘Black lives matter’ the UK said none of that ‘every lives matter’ bs
#BLACK_LIVES_MATTERS #protests2020",1600,302,36
1267272972806639616,kaeepe,1267262577706520578,1267262577706520578,camodreams,2020-06-01T01:53:16.000Z,Wait ? This is in uk ? Omg i cried thank god what a wonderful year.. god bless us ,6,0,1
1267273064858951681,camodreams,1267262577706520578,1267262577706520578,camodreams,2020-06-01T01:53:38.000Z,Yes in London,2,0,1
1267266861999292417,CronaldoDiver,1267262577706520578,1267262577706520578,camodreams,2020-06-01T01:28:59.000Z,where all these white people when it comes to their illegal occupation of ireland,0,0,1
1267267251461402626,camodreams,1267262577706520578,1267262577706520578,camodreams,2020-06-01T01:30:32.000Z,This isn’t about the occupation of Ireland Cronaldo why you asking this question here,2,0,1
1267270676089577473,__bungeegum__,1267262577706520578,1267262577706520578,camodreams,2020-06-01T01:44:08.000Z,i love the accents ,98,0,1
1267268361706242053,Calvin_Clarke1,1267262577706520578,1267262577706520578,camodreams,2020-06-01T01:34:56.000Z,This is great and all but I do find it hilarious how they say matter. It’s great that they’re protesting though.,47,0,1
1267272877201637376,Zfqvnn,1267262577706520578,1267262577706520578,camodreams,2020-06-01T01:52:53.000Z,I love how they say 'matter'  it's cutee,13,0,0
1267269621129887750,GeneralGenetti,1267262577706520578,1267262577706520578,camodreams,2020-06-01T01:39:57.000Z,"This is nothing more than a donald trump hate fest, no meaning, none",0,0,1
1274489818945335296,vernonsthompson,1274489818945335296,None,None,2020-06-20T23:50:26.000Z,Thank you to Sheree Baldwin-Muhammad. This piece has been in protest and it was present as Black Lives Matter was painted in front of City Hall!! This is a Historic Piece!! Most importantly She is a fellow educator!,5,0,0
1267949746888400896,ManuIntiraymi,1267949746888400896,None,None,2020-06-02T22:42:31.000Z,"“Black lives matter"" is a call 2 end racial terrroism. Black lives matter is NOT code 4 other lives don't. When we say ""Black lives matter"" U don't need 2 tell us ""all lives matter."" U need 2 step up & do your part 2 help fight institutiionalized terrorism against black people.",159,25,9
1267956849262854145,ArdbertsLilWife,1267949746888400896,1267949746888400896,ManuIntiraymi,2020-06-02T23:10:45.000Z,,3,0,0
1267956130342469632,aeryn_thrace,1267949746888400896,1267949746888400896,ManuIntiraymi,2020-06-02T23:07:53.000Z,"why we in science are supporting this:
https://x.com/aeryn_thrace/status/1267598143325122560?s=21…

Maybe actors should do the same.",1,0,0
1267976964360503298,MarisaP21206100,1267949746888400896,1267949746888400896,ManuIntiraymi,2020-06-03T00:30:40.000Z,Never thought of it that way. Thanks for the heads up.,1,0,0
1894487683344294232,wakeupslave813,1267949746888400896,1267949746888400896,ManuIntiraymi,2025-02-25T20:40:36.000Z,White lives matter,0,0,0
1270801306576400386,skylaj64,1267949746888400896,1267949746888400896,ManuIntiraymi,2020-06-10T19:33:36.000Z,against ALL people,0,0,0
1883830246421708904,1911NicoACP,1267949746888400896,1267949746888400896,ManuIntiraymi,2025-01-27T10:51:45.000Z,“The only lives that truly matter are those who respect the lives of others“.,0,0,0
1268124439679348738,deerlowy,1268124439679348738,None,None,2020-06-03T10:16:41.000Z,"black lives matter. not just today, or this week, but always.

http://blacklivesmatters.carrd.co",157,73,1
1894488269049450816,wakeupslave813,1268124439679348738,1268124439679348738,deerlowy,2025-02-25T20:42:55.000Z,White Lives Matter- say it loud and say it proud.,0,0,0
1272423920159907840,maxxmacabre,1272423920159907840,None,None,2020-06-15T07:01:17.000Z,"black lives matter is NOT “over”.
black lives matter is NOT a “trend”.
people are dying, and they STILL are
black lives will ALWAYS matter. 
WAKE THE FUCK UP.",885,366,2
1272429569329553413,GothicAsura7,1272423920159907840,1272423920159907840,maxxmacabre,2020-06-15T07:23:44.000Z,This applies to Covid19 as well ,0,0,0
1272639144821288960,BigLipRadio,1272423920159907840,1272423920159907840,maxxmacabre,2020-06-15T21:16:31.000Z,Twice as many white guys die from cop killings.,0,1,4
1269298299334537217,RalfLittle,1269298299334537217,None,None,2020-06-06T16:01:11.000Z,#blacklivesmatter is the important phrase. Not “all lives matter”. Here’s why...,2700,589,45
1269302925647589376,knowledgeisall,1269298299334537217,1269298299334537217,RalfLittle,2020-06-06T16:19:34.000Z,,39,7,2
1269301188425646081,j_fiddes,1269298299334537217,1269298299334537217,RalfLittle,2020-06-06T16:12:40.000Z,So just say All lives matter.. Imagine the uproar if it was White lives matter.. We all matter. Just wish the government understood this simple fact,5,0,4
1269303421561167879,RalfLittle,1269298299334537217,1269298299334537217,RalfLittle,2020-06-06T16:21:32.000Z,"No. The point is, the fact that “white lives matter” is not in question. Our society is built that way. “Black lives matter” needs to be said simply because it is currently the case that as a society, we treat them as if they don’t matter *as much*.",50,1,4
1269302702791630849,RalfLittle,1269298299334537217,1269298299334537217,RalfLittle,2020-06-06T16:18:41.000Z,"Read the picture I posted. If you still think “All lives matter” is an appropriate phrase, read the picture again. If you still don’t get it, please unfollow me.",56,1,2
